,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
858,ASUS,Zenbook,AMD,Ryzen 9,0,4,LPDDR4X,1024,0,Windows,64-bit,0,Casual,16,0,Yes,No,134990,170990,21,0.0,0,0
859,HP,OMEN,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,8,Casual,16,1,No,Yes,141990,163739,13,0.0,0,0
860,ASUS,Rog,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,1,No,No,129990,166990,22,0.0,0,0
861,ASUS,ROG,AMD,Ryzen 9,0,4,LPDDR4X,1024,0,Windows,64-bit,4,Casual,Missing,1,Yes,Yes,142990,201990,29,4.0,4,1
862,ASUS,Zephyrus,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,1,No,No,121990,155990,21,0.0,0,0
863,ASUS,ROG,AMD,Ryzen 9,0,4,LPDDR4X,1024,0,Windows,64-bit,4,Casual,Missing,1,Yes,Yes,124990,194990,35,4.2,44,12
864,ASUS,ROG,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,6,Casual,16,0,No,No,141990,189990,25,4.2,61,13
865,ASUS,VivoBook,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,4,Casual,16,1,No,No,162990,0,0,0.0,0,0
866,ASUS,VivoBook,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,1,No,No,130500,162990,19,0.0,0,0
867,ASUS,VivoBook,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,4,Casual,Missing,0,No,No,116990,149990,22,0.0,0,0
868,ASUS,Ryzen,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,32-bit,6,Casual,16,0,No,No,138990,210990,34,0.0,0,0
869,ASUS,ROG,AMD,Ryzen 9,0,4,LPDDR4X,1024,0,Windows,64-bit,4,Casual,Missing,1,Yes,Yes,234990,350990,33,0.0,0,0
870,ASUS,ROG,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,1,No,No,135990,172990,21,0.0,0,0
871,ASUS,ROG,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,0,Casual,16,1,No,No,144990,194990,25,0.0,0,0
872,ASUS,Ryzen,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,4,Casual,Missing,1,No,No,149990,0,0,0.0,0,0
873,ASUS,Ryzen,AMD,Ryzen 9,0,4,DDR4,1024,0,Windows,64-bit,4,Casual,16,1,No,No,142990,0,0,0.0,0,0
874,SAMSUNG,Galaxy,Qualcomm,Snapdragon 7c,0,4,LPDDR4X,0,512,Windows,32-bit,0,Casual,Missing,0,No,No,38990,47990,18,0.0,0,0
875,Lenovo,Thinkpad,AMD,Ryzen 5,10,8,DDR4,512,0,DOS,64-bit,0,ThinNlight,14,0,No,No,57490,78400,26,4.2,18,4
